"partId","PROLIFIC_PID","gender","nationality","education","date","task","trial","left","right","rating","rt"
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",3,"Ex4","Ex6",7.940650254,2.7648
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",4,"Ex5","Ex1",2.970598761,2.6646
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",5,"Ex4","Ex3",6.012782962,3.3148
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",6,"Ex4","Ex7",6.012782962,3.7988
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",7,"Ex6","Ex1",5.988129931,3.0817
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",8,"Ex1","Ex8",3.991234453,3.3318
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",9,"Ex8","Ex6",5.006939238,2.3475
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",10,"Ex6","Ex8",5.006939238,2.5478
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",11,"Ex4","Ex2",7.013696154,2.5337
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",12,"Ex5","Ex6",5.9634769,2.3476
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",13,"Ex2","Ex7",4.982286208,3.3331
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",14,"Ex3","Ex2",2.955807169,2.7477
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",15,"Ex7","Ex2",2.955807169,1.7139
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",16,"Ex5","Ex4",7.003835092,4.1826
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",17,"Ex1","Ex3",6.964390093,2.4477
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",18,"Ex7","Ex5",8.039262377,2.6993
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",19,"Ex1","Ex5",3.00511323,2.4812
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",20,"Ex2","Ex6",6.993973278,2.2809
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",21,"Ex7","Ex8",5.006939238,2.7646
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",22,"Ex7","Ex6",7.058071308,2.9983
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",23,"Ex2","Ex8",3.00511323,2.5804
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",24,"Ex8","Ex5",7.023557216,2.581
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",25,"Ex2","Ex5",5.993060838,2.7815
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",26,"Ex7","Ex3",7.003835092,3.0649
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",27,"Ex5","Ex3",5.978268869,3.7988
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",28,"Ex3","Ex5",6.969320247,3.7321
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",29,"Ex1","Ex7",6.969320247,2.1974
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",30,"Ex7","Ex4",6.969320247,2.0641
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",31,"Ex3","Ex6",7.989956316,3.2659
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",32,"Ex4","Ex5",7.989956316,2.0812
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",33,"Ex2","Ex4",5.993060838,3.7655
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",34,"Ex2","Ex1",4.035609984,5.0331
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",35,"Ex8","Ex1",6.949598124,3.2984
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",36,"Ex8","Ex4",6.949598124,2.1834
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",37,"Ex6","Ex5",6.007852054,2.5643
"parID_1","56d6224aebdf10000c68538b","Male","UK","Masters","2024-11-07_15h03.59.789","1_to_8",38,"Ex3","Ex7",7.033418277,3.432
