"subjectId","rep","par1","par2","value","counts.function","counts.gradient","convergence"
"P13",1,8.31796932630849,0.503502250235363,92.1545546456512,63,38,0
"P13",2,6.11208726332874,0.576104012292755,84.6324455630682,11,6,0
"P13",3,2.04776690005701,0.595877965428,87.0771290357834,20,11,0
"P13",4,1.97896730085469,0.550402335677497,87.9065817671103,18,11,0
"P13",5,9.9875547667906,0.87729826036308,64.2179371878061,21,5,0
"P13",6,2.32443918140673,0.537544423211963,89.0504961812838,20,11,0
"P13",7,0.596783245988164,0.541519618703937,95.8413303961644,11,6,0
"P13",8,2.68440978545623,0.805288028616075,73.555577270598,21,11,0
"P13",9,3.76805669137368,0.583977235333718,86.0655171177239,28,16,0
"P13",10,6.21868991450111,0.645629568062051,80.7445056527546,15,8,0
"P13",11,0.524458600959193,0.640223492343116,91.3934037938111,12,6,0
"P13",12,1.58685033698563,0.435305454553668,97.8086091229359,19,11,0
"P13",13,7.84662023849264,0.590878496610492,84.4561776359778,71,43,0
"P13",14,8.71759566315558,0.748366509302427,74.4198770050317,87,53,0
"P13",15,1.14075449526574,0.749422037704559,81.3146517413819,21,9,0
"P13",16,8.12126187355242,0.571505696137105,87.1490341538514,12,6,0
"P13",17,3.78229286062677,0.655594853457017,82.1635066526437,20,11,0
"P13",18,0.698632236946984,0.78078122075559,79.4015623256219,21,9,0
"P13",19,3.55248526300404,0.701249251537038,80.4870240291762,48,28,0
"P13",20,8.87749835573939,0.69044809574382,78.526187215245,23,13,0
"P14",1,2.2273858320427,0.379625930700731,100.287769945958,19,11,0
"P14",2,6.55396874355247,0.32158216737503,101.753075800884,18,11,0
"P14",3,3.08957664934283,0.384110502906082,98.8874962422438,41,20,0
"P14",4,6.69531058522945,0.423766386306639,97.8749637749656,19,11,0
"P14",5,5.55000562232904,0.669951132999526,79.3737376978498,87,53,0
"P14",6,1.20586472574513,0.357300978581287,102.346718399449,19,11,0
"P14",7,2.17932040880994,0.400123300425163,96.446166638801,36,17,0
"P14",8,7.37848197175893,0.567377150753226,87.6840325284505,55,33,0
"P14",9,9.38268900701038,0.502473231663663,90.6998143376715,23,13,0
"P14",10,5.26254979311721,0.628169258692051,83.5129630799174,11,6,0
"P14",11,1.63273417219091,0.393258072425505,100.166136954472,21,10,0
