"participant","subjectId","first","task","difficulty","set","phase","condition2","blocks","blocksPhase","nTrials","pCorrect","avgRt","medRt"
"60d2c59451b12e36fb281477","P20","first-partial","partial","easy",5,1,"partial-nonreversed",5,5,4,1,0.490675,0.4766
"60d2c59451b12e36fb281477","P20","first-partial","partial","easy",5,1,"partial-nonreversed",6,6,4,1,0.464325,0.4645
"60d2c59451b12e36fb281477","P20","first-partial","partial","easy",5,2,"partial-reversed",7,1,4,0.25,0.503025,0.49525
"60d2c59451b12e36fb281477","P20","first-partial","partial","easy",5,2,"partial-reversed",8,2,4,0.75,0.64355,0.58725
"60d2c59451b12e36fb281477","P20","first-partial","partial","easy",5,2,"partial-reversed",9,3,4,0.75,0.607125,0.5631
"60d2c59451b12e36fb281477","P20","first-partial","partial","easy",5,2,"partial-reversed",10,4,4,1,0.6167,0.6226
"60d2c59451b12e36fb281477","P20","first-partial","partial","easy",5,2,"partial-reversed",11,5,4,1,0.557225,0.5627
"60d2c59451b12e36fb281477","P20","first-partial","partial","easy",5,2,"partial-reversed",12,6,4,1,0.5738,0.55115
"60d2c59451b12e36fb281477","P20","first-partial","partial","easy",5,2,"partial-nonreversed",7,1,4,0.75,0.692025,0.6437
"60d2c59451b12e36fb281477","P20","first-partial","partial","easy",5,2,"partial-nonreversed",8,2,4,1,0.7761,0.6938
"60d2c59451b12e36fb281477","P20","first-partial","partial","easy",5,2,"partial-nonreversed",9,3,4,1,0.510475,0.50305
"60d2c59451b12e36fb281477","P20","first-partial","partial","easy",5,2,"partial-nonreversed",10,4,4,1,0.5236,0.5178
"60d2c59451b12e36fb281477","P20","first-partial","partial","easy",5,2,"partial-nonreversed",11,5,4,1,0.508525,0.50115
"60d2c59451b12e36fb281477","P20","first-partial","partial","easy",5,2,"partial-nonreversed",12,6,4,1,0.52805,0.54075
"60d2c59451b12e36fb281477","P20","first-partial","total","easy",5,1,"total-reversed",1,1,8,0.75,0.6990875,0.6922
"60d2c59451b12e36fb281477","P20","first-partial","total","easy",5,1,"total-reversed",2,2,8,0.875,0.6381875,0.5754
"60d2c59451b12e36fb281477","P20","first-partial","total","easy",5,1,"total-reversed",3,3,8,1,0.529675,0.50755
