"participant","first","difficulty","set","1-total-reversed","2-total-reversed","3-total-reversed","4-total-reversed","5-total-reversed","6-total-reversed","7-total-reversed","8-total-reversed","9-total-reversed","10-total-reversed","11-total-reversed","12-total-reversed","1-partial-reversed","2-partial-reversed","3-partial-reversed","4-partial-reversed","5-partial-reversed","6-partial-reversed","7-partial-reversed","8-partial-reversed","9-partial-reversed","10-partial-reversed","11-partial-reversed","12-partial-reversed","1-partial-nonreversed","2-partial-nonreversed","3-partial-nonreversed","4-partial-nonreversed","5-partial-nonreversed","6-partial-nonreversed","7-partial-nonreversed","8-partial-nonreversed","9-partial-nonreversed","10-partial-nonreversed","11-partial-nonreversed","12-partial-nonreversed"
"629e1422d8de28b42ae1a214","first-partial","easy",1,0.75,0.75,0.875,0.75,1,1,0.625,0.75,0.875,0.75,0.875,0.875,0.75,0.5,0.5,0.25,0.5,0.75,0.25,0.5,0.25,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.75,0.25,0.5,0.5,0.5,0
"632222532c12ab0ab7ca00bd","first-partial","easy",8,0.625,0.875,0.875,1,1,1,0.5,1,1,0.875,0.875,0.75,0.75,0.75,1,1,1,1,0,1,0.5,1,0.75,0.75,0.75,0.75,1,0.75,1,1,1,1,1,1,1,0.75
"63614851eba9f853fc9ffb45","first-total","easy",6,0.571428571428571,0.375,0.75,0.625,1,1,0.5,0.625,0.75,0.75,0.875,0.875,0.75,0.75,1,0.75,1,1,0.5,1,0.75,1,0.75,0.75,0.75,0.75,1,1,1,1,0.75,1,1,1,1,0.5
"639f294882a3797f77a3dd81","first-total","easy",6,0.5,0.75,0.75,0.625,1,0.75,0.25,0.625,0.75,1,0.875,0.875,1,1,1,1,1,1,0.25,0.5,1,0.75,1,0.5,1,1,1,1,1,1,0.5,0.75,0.75,0.75,0.75,1
"63ea8ec521931832f4b6b7cb","first-partial","easy",1,0.875,1,1,1,1,1,0.625,1,0.875,1,1,1,0.75,0.5,1,1,1,1,0.5,1,1,1,0.75,1,1,0.75,0.75,1,1,1,1,0.5,1,1,0.5,0.75
"6400d919945d23676a68b781","first-total","easy",4,0.875,1,0.875,1,0.75,0.875,0.375,1,0.75,0.875,1,0.875,0.75,0.75,1,0.75,1,1,0.5,0.75,1,0.5,1,0.75,1,1,1,1,1,1,0.75,0.75,1,1,1,1
"6413603a62c72120012e05be","first-partial","easy",5,0.875,0.875,0.875,0.875,1,1,0.625,0.875,0.75,0.75,0.875,0.875,0.5,0.75,1,1,0.75,1,0.25,0.25,0.75,0.75,1,1,0.25,0.25,0.5,1,1,0.75,0.5,0.75,1,0.75,0.75,1
"646e53ef6c1dac9a13cd2985","first-partial","easy",6,0.75,0.75,0.75,0.875,0.875,0.875,0.5,0.75,0.875,0.75,0.625,0.75,0.25,0.5,1,0.75,1,0.75,0,0.25,0.75,0.75,0.75,1,0.5,0.75,0.5,0.75,0.75,1,0.75,1,0.5,0.75,1,1
"65a54037a9c2c5d66a3601b2","first-total","easy",7,0.875,1,1,1,1,1,0.75,1,1,1,1,0.75,0.5,1,1,1,1,1,0.5,1,0.75,0.75,1,0.75,0.75,0.5,1,1,0.75,1,0.5,0.5,0.75,0.75,0.75,0.75
"65d88c96834862408313a6c4","first-partial","easy",8,0.5,0.75,1,0.875,1,1,0.75,1,0.875,0.75,1,1,1,0.25,0.5,0.5,0.75,0.75,0.75,1,1,1,0.75,0.75,0.333333333333333,0.5,0.75,0.5,0.5,0.5,0.75,1,0.75,1,1,1
