"participant","first","difficulty","set","1-total-reversed","2-total-reversed","3-total-reversed","4-total-reversed","5-total-reversed","6-total-reversed","7-total-reversed","8-total-reversed","9-total-reversed","10-total-reversed","11-total-reversed","12-total-reversed","1-partial-reversed","2-partial-reversed","3-partial-reversed","4-partial-reversed","5-partial-reversed","6-partial-reversed","7-partial-reversed","8-partial-reversed","9-partial-reversed","10-partial-reversed","11-partial-reversed","12-partial-reversed","1-partial-nonreversed","2-partial-nonreversed","3-partial-nonreversed","4-partial-nonreversed","5-partial-nonreversed","6-partial-nonreversed","7-partial-nonreversed","8-partial-nonreversed","9-partial-nonreversed","10-partial-nonreversed","11-partial-nonreversed","12-partial-nonreversed"
"60282d2ffedb021342e2df15","first-total","easy",1,1.1096,1.34095,1.01355,0.9394,1.04405,0.93815,0.91475,0.87025,0.96785,0.87665,0.9404,0.8704,0.8699,1.1831,1.0908,0.74225,0.88685,0.86405,0.8323,1.02895,0.94635,1.0505,1.0627,1.0194,1.17495,1.25755,1.37675,0.80505,0.88395,0.8726,0.83385,1.0289,1.0109,1.01215,0.9523,0.8557
"6047bf2d4d6168063087fe8e","first-partial","easy",2,0.6455,0.4307,0.38575,0.44345,0.3869,1.2164,0.8498,0.5614,0.36115,0.37025,0.4525,0.50615,0.954,0.45005,0.63495,0.7892,0.6648,0.7898,0.78835,1.07485,0.98285,0.4426,0.5028,0.38235,0.77725,0.4517,0.72065,0.76835,0.7514,0.84855,1.09565,0.93795,0.72995,0.50245,0.50335,0.32885
"60723c224e9193e5d5fe5712","first-partial","easy",3,0.7164,0.9368,0.7438,0.6098,0.5948,0.5997,0.748,0.6967,0.6743,0.5721,0.55075,0.5382,0.81125,1.02445,0.98825,0.61165,0.5321,0.606,1.03125,1.0532,0.64945,0.55525,0.63335,0.67575,0.93845,0.59835,0.62475,0.65165,0.6322,0.605,0.8328,0.70385,0.52545,0.62405,0.5514,0.60955
"60d2c59451b12e36fb281477","first-partial","easy",5,0.6922,0.5754,0.50755,0.5323,0.489,0.5252,0.71015,0.6621,0.6451,0.62935,0.6554,0.6758,0.86475,0.7585,0.8855,0.70535,0.55935,0.4632,0.49525,0.58725,0.5631,0.6226,0.5627,0.55115,0.7599,0.76155,0.798,0.52055,0.4766,0.4645,0.6437,0.6938,0.50305,0.5178,0.50115,0.54075
"60e3b450cc89a0046b21c5bc","first-partial","easy",2,0.74695,0.6196,0.60555,0.57285,0.60735,0.56255,0.67985,0.61415,0.8078,0.57725,0.9049,0.78145,1.2111,1.2002,0.7833,0.65665,0.59415,0.4883,0.51435,0.44205,0.62985,0.62375,0.6737,0.6051,1.29185,1.16875,0.83615,0.78725,0.60325,0.4863,0.6004,0.78355,0.6968,0.8208,0.64535,0.5998
"629e1422d8de28b42ae1a214","first-partial","easy",1,0.8017,0.59265,0.5493,0.6124,0.60265,0.6486,0.66935,0.6488,0.59625,0.64625,0.6691,0.65175,0.75275,0.8276,0.57785,0.5184,0.5696,0.5894,0.6118,0.6172,0.5614,0.58545,0.78765,0.48565,1.0698,0.7115,0.5795,0.7106,0.581,0.5118,0.71075,0.57685,0.85575,0.5702,0.7714,0.7453
"632222532c12ab0ab7ca00bd","first-partial","easy",8,0.8685,0.923,0.826,0.848,0.7265,0.7145,0.9925,0.7765,0.8245,0.949,0.5945,0.7035,0.9725,0.692,0.77,0.7395,0.684,0.745,0.613,0.6945,1.081,0.7195,0.7725,0.9775,1.463,0.5905,0.73,0.6075,0.6805,0.574,0.653,0.586,0.879,0.807,0.741,0.8395
"63614851eba9f853fc9ffb45","first-total","easy",6,1.0809,0.65425,0.73705,1.31195,0.8297,0.51465,0.82965,1.02005,0.9205,0.69665,0.72635,0.6459,0.70435,0.80405,0.6622,0.8389,0.7263,0.7369,0.6469,0.76535,0.82085,1.5677,0.92565,1.48115,0.85455,0.8385,0.63015,0.59535,0.538,0.52935,0.71275,0.70395,0.7221,0.9295,0.88525,1.3195
"639f294882a3797f77a3dd81","first-total","easy",6,1.32315,1.0644,0.93085,0.7637,0.86875,0.912,0.78795,1.01955,1.04305,0.85545,0.75555,0.7416,0.7543,0.63875,0.6018,0.64445,0.5235,0.6691,0.73975,1.2478,0.95535,1.09595,0.92035,1.083,0.7819,0.637,0.66405,0.53775,0.72185,0.5314,0.8644,1.1111,0.7278,0.86585,0.9078,0.70575
"63ea8ec521931832f4b6b7cb","first-partial","easy",1,0.9711,0.7422,0.5847,0.613,0.56805,0.5729,0.7738,0.84085,0.6261,0.7097,0.66975,0.5865,0.98645,0.99225,0.7362,0.6325,0.5654,0.54205,0.76585,1.03475,1.47315,0.8517,0.9966,0.70675,1.00875,0.8778,0.9808,0.72825,0.4941,0.49655,0.59315,1.0924,1.09125,0.89005,0.9526,1.04545
